rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,Solidity,EIPs,6583,2550,Solidity,https://github.com/ethereum/EIPs,ethereum,500,2021-06-03T14:38:35Z,The Ethereum Improvement Proposal repository
2,Solidity,learning-solidity,1001,372,Solidity,https://github.com/willitscale/learning-solidity,willitscale,5,2021-03-05T12:02:44Z,The companion to the Youtube tutorials
3,Solidity,sushiswap,873,703,Solidity,https://github.com/sushiswap/sushiswap,sushiswap,10,2021-05-13T09:43:15Z,Sushiswap smart contracts 🍣 📝
4,Solidity,not-so-smart-contracts,788,142,Solidity,https://github.com/crytic/not-so-smart-contracts,crytic,9,2020-04-24T15:54:02Z,Examples of Solidity security issues
5,Solidity,compound-protocol,744,507,Solidity,https://github.com/compound-finance/compound-protocol,compound-finance,30,2021-05-26T18:41:01Z,The Compound On-Chain Protocol
6,Solidity,solidity-stringutils,628,252,Solidity,https://github.com/Arachnid/solidity-stringutils,Arachnid,25,2021-01-15T14:23:26Z,Basic string utilities for Solidity
7,Solidity,solidity-patterns,625,124,Solidity,https://github.com/fravoll/solidity-patterns,fravoll,1,2021-05-16T22:37:12Z,A compilation of patterns and best practices for the smart contract programming language Solidity
8,Solidity,yam-protocol,604,255,Solidity,https://github.com/yam-finance/yam-protocol,yam-finance,18,2020-09-29T06:24:11Z,A stablizing reserve currency protocol
9,Solidity,ethereum-api,570,350,Solidity,https://github.com/provable-things/ethereum-api,provable-things,10,2020-11-15T01:26:36Z,Provable API for Ethereum smart contracts
10,Solidity,aragonOS,497,190,Solidity,https://github.com/aragon/aragonOS,aragon,51,2021-05-08T22:33:38Z,(Aragon 1) Reference implementation for aragonOS: a Solidity framework for building complex dApps and protocols
11,Solidity,defi-sdk,485,139,Solidity,https://github.com/zeriontech/defi-sdk,zeriontech,26,2021-05-31T12:20:57Z,DeFi SDK Makes Money Lego Work
12,Solidity,money-legos,454,118,Solidity,https://github.com/studydefi/money-legos,studydefi,25,2021-05-20T17:04:41Z,"💰One stop shop for Ethereum ABIs, addresses, and Solidity interfaces!"
13,Solidity,Safemoon.sol,447,560,Solidity,https://github.com/safemoonprotocol/Safemoon.sol,safemoonprotocol,64,2021-05-22T17:48:39Z,safemoon contract
14,Solidity,ERC223-token-standard,413,216,Solidity,https://github.com/Dexaran/ERC223-token-standard,Dexaran,8,2021-05-05T06:57:45Z,ERC223 token standard reference implementation.
15,Solidity,ethereum-examples,371,128,Solidity,https://github.com/provable-things/ethereum-examples,provable-things,30,2021-05-11T12:59:44Z,Code examples showing how to use the Provable API on Ethereum
16,Solidity,ethereum-erc721,352,149,Solidity,https://github.com/0xcert/ethereum-erc721,0xcert,15,2021-05-20T16:44:42Z,Non-fungible token implementation for Ethereum-based blockchains.
17,Solidity,uniswap-v2-periphery,349,599,Solidity,https://github.com/Uniswap/uniswap-v2-periphery,Uniswap,28,2021-05-11T15:15:42Z,🎚 Peripheral smart contracts for interacting with Uniswap V2
18,Solidity,security-oracle-smart-contracts,334,5,Solidity,https://github.com/certikfoundation/security-oracle-smart-contracts,certikfoundation,0,2021-01-21T19:56:43Z,Smart Contracts for CertiK Security Oracle
19,Solidity,yearn-protocol,331,167,Solidity,https://github.com/yearn/yearn-protocol,yearn,13,2021-05-15T17:23:40Z,Yearn smart contracts
20,Solidity,keep3r.network,321,109,Solidity,https://github.com/keep3r-network/keep3r.network,keep3r-network,11,2021-04-19T09:26:21Z,An incentivized keeper network for anonymous keeper and job registration
21,Solidity,dss,310,198,Solidity,https://github.com/makerdao/dss,makerdao,20,2021-05-26T18:28:10Z,Dai Stablecoin System
22,Solidity,1inchProtocol,292,140,Solidity,https://github.com/1inch/1inchProtocol,1inch,44,2021-05-06T14:34:35Z,1inch Protocol – fully on-chain DeFi aggregation protocol
