rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,Solidity,EIPs,6255,2447,Solidity,https://github.com/ethereum/EIPs,ethereum,504,2021-04-25T20:19:52Z,The Ethereum Improvement Proposal repository
2,Solidity,learning-solidity,942,355,Solidity,https://github.com/willitscale/learning-solidity,willitscale,5,2021-03-05T12:02:44Z,The companion to the Youtube tutorials
3,Solidity,sushiswap,798,639,Solidity,https://github.com/sushiswap/sushiswap,sushiswap,16,2021-04-24T13:59:19Z,Sushiswap smart contracts 🍣 📝
4,Solidity,not-so-smart-contracts,756,134,Solidity,https://github.com/crytic/not-so-smart-contracts,crytic,9,2020-04-24T15:54:02Z,Examples of Solidity security issues
5,Solidity,compound-protocol,661,463,Solidity,https://github.com/compound-finance/compound-protocol,compound-finance,24,2021-04-22T10:20:52Z,The Compound On-Chain Protocol
6,Solidity,solidity-stringutils,619,248,Solidity,https://github.com/Arachnid/solidity-stringutils,Arachnid,25,2021-01-15T14:23:26Z,Basic string utilities for Solidity
7,Solidity,yam-protocol,597,262,Solidity,https://github.com/yam-finance/yam-protocol,yam-finance,18,2020-09-29T06:24:11Z,A stablizing reserve currency protocol
8,Solidity,solidity-patterns,569,114,Solidity,https://github.com/fravoll/solidity-patterns,fravoll,0,2019-12-17T08:28:14Z,A compilation of patterns and best practices for the smart contract programming language Solidity
9,Solidity,ethereum-api,566,349,Solidity,https://github.com/provable-things/ethereum-api,provable-things,10,2020-11-15T01:26:36Z,Provable API for Ethereum smart contracts
10,Solidity,aragonOS,488,190,Solidity,https://github.com/aragon/aragonOS,aragon,49,2021-04-05T13:27:45Z,(Aragon 1) Reference implementation for aragonOS: a Solidity framework for building complex dApps and protocols
11,Solidity,defi-sdk,467,129,Solidity,https://github.com/zeriontech/defi-sdk,zeriontech,22,2021-04-23T15:48:59Z,DeFi SDK Makes Money Lego Work
12,Solidity,ERC223-token-standard,406,211,Solidity,https://github.com/Dexaran/ERC223-token-standard,Dexaran,6,2021-04-14T06:03:11Z,ERC223 token standard reference implementation.
13,Solidity,money-legos,404,108,Solidity,https://github.com/studydefi/money-legos,studydefi,21,2021-04-02T09:30:17Z,"💰One stop shop for Ethereum ABIs, addresses, and Solidity interfaces!"
14,Solidity,ethereum-examples,364,126,Solidity,https://github.com/provable-things/ethereum-examples,provable-things,6,2021-03-30T17:21:42Z,Code examples showing how to use the Provable API on Ethereum
15,Solidity,security-oracle-smart-contracts,332,5,Solidity,https://github.com/certikfoundation/security-oracle-smart-contracts,certikfoundation,0,2021-01-21T19:56:43Z,Smart Contracts for CertiK Security Oracle
